,,,,,,
당진자재창고,,KPX,,RTU,,
date,device_id,순방향,역방향,usage,차이,usage / 1000 * 720
2020-05-25 16:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16800,0,34000,-17200,24480
2020-05-25 16:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16368,0,35979,-19611,25904.88
2020-05-25 16:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,17232,0,40882,-23650,29435.04
2020-05-25 16:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,20496,0,41201,-20705,29664.72
2020-05-25 16:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,18720,0,25450,-6730,18324
2020-05-25 17:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14352,0,21645,-7293,15584.4
2020-05-25 17:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,12864,0,22977,-10113,16543.44
2020-05-25 17:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,11760,0,29899,-18139,21527.28
2020-05-25 17:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14112,0,24175,-10063,17406
2020-05-25 17:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10944,0,20924,-9980,15065.28
2020-05-25 17:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10224,0,28898,-18674,20806.56
2020-05-25 17:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,14736,0,33986,-19250,24469.92
2020-05-25 17:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,16704,0,33984,-17280,24468.48
2020-05-25 17:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,15888,0,27155,-11267,19551.6
2020-05-25 17:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,11904,0,21993,-10089,15834.96
2020-05-25 17:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,10368,0,19136,-8768,13777.92
2020-05-25 17:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,8544,0,14990,-6446,10792.8
2020-05-25 18:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,7248,0,11103,-3855,7994.16
2020-05-25 18:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4944,0,9009,-4065,6486.48
2020-05-25 18:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4080,0,8986,-4906,6469.92
2020-05-25 18:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4416,0,9997,-5581,7197.84
2020-05-25 18:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4512,0,8980,-4468,6465.6
2020-05-25 18:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,4464,0,8082,-3618,5819.04
2020-05-25 18:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,3456,0,4081,-625,2938.32
2020-05-25 18:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1872,0,2868,-996,2064.96
2020-05-25 18:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1104,0,3056,-1952,2200.32
2020-05-25 18:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1392,0,2076,-684,1494.72
2020-05-25 18:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1248,0,2924,-1676,2105.28
2020-05-25 18:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1152,0,1076,76,774.72
2020-05-25 19:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,720,0,2000,-1280,1440
2020-05-25 19:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,960,0,2933,-1973,2111.76
2020-05-25 19:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,1488,0,2067,-579,1488.24
2020-05-25 19:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,864,0,1000,-136,720
2020-05-25 19:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,144,0,927,-783,667.44
2020-05-25 19:25:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,336,0,73,263,52.56
2020-05-25 19:30:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,240,0,0,240,0
2020-05-25 19:35:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,48,0,0,48,0
2020-05-25 19:40:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 19:45:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 19:50:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 19:55:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 20:00:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 20:05:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 20:10:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 20:15:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
2020-05-25 20:20:00,11e54ea2-c45f-477f-b97d-b6f7dc2921a7,0,0,0,0,0
