"PVWatts: Hourly PV Performance Data"
"Requested Location:","67-1125 Mamalahoa Hwy, Waimea, HI 96743, United States"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","700"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.260"
"Capacity Factor (%)","16.4"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","4","23","0","0","21","2","0","21","0","0"
"10","5","0","0","0","21","1","0","21","0","0"
"10","5","1","0","0","21","1","0","21","0","0"
"10","5","2","0","0","21","1","0","21","0","0"
"10","5","3","0","0","21","1","0","21","0","0"
"10","5","4","0","0","21","1","0","21","0","0"
"10","5","5","0","0","21","1","0","21","0","0"
"10","5","6","0","8","21","1","7.566","18.995","4679.197","1023.156"
"10","5","7","22","105","21","2","111.104","22.249","67036.188","62139.902"
"10","5","8","702","101","22","2","516.172","34.34","288941.625","277956.469"
"10","5","9","792","117","22","2","738.752","41.225","407971.406","392642.438"
"10","5","10","839","129","23","2","901.291","46.846","485934.438","467352.406"
"10","5","11","13","258","23","1","262.701","33.494","151690.641","144780.094"
"10","5","12","814","169","24","1","1001.924","52.878","523628.5","503357.875"
"10","5","13","297","414","24","1","716.453","47.888","384469.094","370057.406"
"10","5","14","671","199","23","1","773.385","47.405","414981.063","399372.813"
"10","5","15","0","102","23","1","97.18","27.855","57663.496","52966.813"
"10","5","16","409","135","22","1","319.336","30.526","178296.563","170674.344"
"10","5","17","115","56","22","1","79.821","24.055","43806.391","39396.27"
"10","5","18","0","0","22","2","0","22","0","0"
"10","5","19","0","0","22","2","0","22","0","0"
"10","5","20","0","0","22","2","0","22","0","0"
"10","5","21","0","0","22","2","0","22","0","0"
"10","5","22","0","0","22","2","0","22","0","0"
"10","5","23","0","0","22","2","0","22","0","0"
"10","6","0","0","0","22","2","0","22","0","0"
"10","6","1","0","0","22","2","0","22","0","0"
"10","6","2","0","0","22","1","0","22","0","0"
"10","6","3","0","0","22","1","0","22","0","0"
"10","6","4","0","0","22","1","0","22","0","0"
"10","6","5","0","0","22","1","0","22","0","0"
"10","6","6","0","2","22","1","1.889","19.851","1163.852","0"
"10","6","7","17","103","22","1","105.333","23.258","63371.461","58553.773"
"10","6","8","62","211","23","1","245.583","29.276","144024.234","137311.766"
"10","6","9","175","327","24","1","469.564","37.735","264958.688","254757.656"
"10","6","10","330","382","24","1","701.73","45.379","381433.719","367138.375"
"10","6","11","447","377","25","1","848.179","51.291","447069.531","430149.5"
"10","6","12","816","170","24","1","1004.623","55.106","518710.531","498664.531"
"10","6","13","255","422","24","1","685.451","47.043","369475.594","355633.813"
"10","6","14","454","289","24","1","684.199","45.75","370556.156","356673.688"
"10","6","15","178","260","23","1","380.685","36.042","215750.828","207063.031"
"10","6","16","475","109","23","0","320.398","36.568","172276.938","164819.031"
"10","6","17","77","51","22","0","66.072","25.693","36675.711","32409.076"
"10","6","18","0","0","22","0","0","22","0","0"
"10","6","19","0","0","22","0","0","22","0","0"
"10","6","20","0","0","22","0","0","22","0","0"
"10","6","21","0","0","22","0","0","22","0","0"
"10","6","22","0","0","22","0","0","22","0","0"
"10","6","23","0","0","21","0","0","21","0","0"
"10","7","0","0","0","21","0","0","21","0","0"
"10","7","1","0","0","21","0","0","21","0","0"
