Date / Time           ,KWH(ch: 1  set:0)    
2016/07/10 3:45,100
2016/07/10 4:00,99.67
2016/07/10 4:15,100.23
2016/07/10 4:30,101.63
2016/07/10 4:45,100.46
2016/07/10 5:00,100.87
2016/07/10 5:15,101
2016/07/10 5:30,101.76
2016/07/10 5:45,101.02
2016/07/10 6:00,101.9
2016/07/10 6:15,105.23
2016/07/10 6:30,106.41
2016/07/10 6:45,107.27
2016/07/10 7:00,106.95
2016/07/10 7:15,110.47
2016/07/10 7:30,112.71
2016/07/10 7:45,112.78
2016/07/10 8:00,114.52
2016/07/10 8:15,115.13
2016/07/10 8:30,116.56
2016/07/10 8:45,116.84
2016/07/10 9:00,117.09
2016/07/10 9:15,116.42
2016/07/10 9:30,118.67
2016/07/10 9:45,121.16
2016/07/10 10:00,115.33
2016/07/10 10:15,114.27
2016/07/10 10:30,114.69
2016/07/10 10:45,116.34
2016/07/10 11:00,115.04
2016/07/10 11:15,116.28
2016/07/10 11:30,116.25
2016/07/10 11:45,116.58
2016/07/10 12:00,116.78
2016/07/10 12:15,115.93
2016/07/10 12:30,115.5
2016/07/10 12:45,116.16
2016/07/10 13:00,118.33
2016/07/10 13:15,118.52
2016/07/10 13:30,117.45
2016/07/10 13:45,120.49
2016/07/10 14:00,118.82
2016/07/10 14:15,118.66
2016/07/10 14:30,117.08
2016/07/10 14:45,119.67
2016/07/10 15:00,119.23
2016/07/10 15:15,116.01
2016/07/10 15:30,115.97
2016/07/10 15:45,114.29
